productType,name,description,categories,tax,slug,variantId,code basis,sku,,prices,uid,approved,size,colorCode,colorCodeName,codeFilterColor,codeFilterColorName,restricted,saleableOnStock,maxOrderQuantity,ean,gender,highlighted,new,piecesSold
,Mission Longsleeves, ,rst-women,full-tax,mission-longsleeve,4,RST12004,M-109015,4995,EUR 49950,M-109015,YES,L,13,navy,1,,NO,YES,10, ,female,,YES,0
,Mission Longsleeves, ,rst-women,full-tax,mission-longsleeve,5,RST12004,M-109016,4995,EUR 49950,M-109016,YES,XL,13,navy,1,,NO,YES,10, ,female,,YES,0
,Mission Longsleeves, ,rst-women,full-tax,mission-longsleeve,6,RST12004,M-109017,4995,EUR 49950,M-109017,YES,XS,3,white,3,,NO,YES,10, ,female,,YES,0
,Mission Longsleeves, ,rst-women,full-tax,mission-longsleeve,7,RST12004,M-109018,4995,EUR 49950,M-109018,YES,S,3,white,3,,NO,YES,10, ,female,,YES,0
,Mission Longsleeves, ,rst-women,full-tax,mission-longsleeve,8,RST12004,M-109020,4995,EUR 49950,M-109020,YES,L,3,white,3,,NO,YES,10, ,female,,YES,0
,Mission Longsleeves, ,rst-women,full-tax,mission-longsleeve,9,RST12004,M-109021,4995,EUR 49950,M-109021,YES,XL,3,white,3,,NO,YES,10, ,female,,YES,0
clothing,T´Shirt,Wings for Life<br />T-Shirt<br />Colour: navy<br />Material: 95% Baumwolle / 5% Elasthan<br /><br />DIE GESAMTEN VERKAUFSERL&Ouml;SE FLIESSEN IN DIE R&Uuml;CKENMARKSFORSCHUNG!,wfl-women-t-shirts,full-tax,t-shirt,1,WFL10008,M-105148,2495,EUR 24950,M-105148,YES,L,13,navy,1,,NO,YES,10, ,female,,NO,0
clothing,T-Shirt,Wings for Life<br />Tailliert geschnittenes Kurzarm T-Shirt<br />Farbe: navy<br />Material: 95% Baumwolle / 5% Elasthan<br/><br/>DIE GESAMTEN VERKAUFSERLÖSE FLIESSEN IN DIE RÜCKENMARKSFORSCHUNG!,wfl-women-t-shirts,full-tax,t-shirt,1,WFL11001,M-105336,2495,EUR 24950,M-105336,YES,L,13,navy,1,,NO,YES,10, ,female,,NO,0
,T-Shirt,Wings for Life<br />Tailliert geschnittenes Kurzarm T-Shirt<br />Farbe: navy<br />Material: 95% Baumwolle / 5% Elasthan<br/><br/>DIE GESAMTEN VERKAUFSERLÖSE FLIESSEN IN DIE RÜCKENMARKSFORSCHUNG!,wfl-women-t-shirts,full-tax,t-shirt,2,WFL11001,M-105337,2495,EUR 24950,M-105337,YES,XL,13,navy,1,,NO,YES,10, ,female,,NO,0
,T-Shirt,Wings for Life<br />Tailliert geschnittenes Kurzarm T-Shirt<br />Farbe: navy<br />Material: 95% Baumwolle / 5% Elasthan<br/><br/>DIE GESAMTEN VERKAUFSERLÖSE FLIESSEN IN DIE RÜCKENMARKSFORSCHUNG!,wfl-women-t-shirts,full-tax,t-shirt,3,WFL11001,M-105338,2495,EUR 24950,M-105338,YES,S,3E,weiß / sonstige,3,,NO,YES,10, ,female,,NO,0
,T-Shirt,Wings for Life<br />Tailliert geschnittenes Kurzarm T-Shirt<br />Farbe: navy<br />Material: 95% Baumwolle / 5% Elasthan<br/><br/>DIE GESAMTEN VERKAUFSERLÖSE FLIESSEN IN DIE RÜCKENMARKSFORSCHUNG!,wfl-women-t-shirts,full-tax,t-shirt,4,WFL11001,M-105340,2495,EUR 24950,M-105340,YES,L,3E,weiß / sonstige,3,,NO,YES,10, ,female,,NO,0
,T-Shirt,Wings for Life<br />Tailliert geschnittenes Kurzarm T-Shirt<br />Farbe: navy<br />Material: 95% Baumwolle / 5% Elasthan<br/><br/>DIE GESAMTEN VERKAUFSERLÖSE FLIESSEN IN DIE RÜCKENMARKSFORSCHUNG!,wfl-women-t-shirts,full-tax,t-shirt,5,WFL11001,M-105341,2495,EUR 24950,M-105341,YES,XL,3E,weiß / sonstige,3,,NO,YES,10, ,female,,NO,0
clothing,Longsleeve,"Wings for Life<br />
Tailliert geschnittenes Langarm Shirt<br />
Farbe: navy<br />Material: 95% Cotton / 5% Elasthan<br/><br/>DIE GESAMTEN VERKAUFSERLÖSE FLIESSEN IN DIE RÜCKENMARKSFORSCHUNG!",wfl-women-t-shirts,full-tax,langarmshirt,1,WFL11003,M-105352,3995,EUR 39950,M-105352,YES,S,13,navy,1,,NO,YES,10, ,female,,NO,0
,Longsleeve,"Wings for Life<br />
Tailliert geschnittenes Langarm Shirt<br />
Farbe: navy<br />Material: 95% Cotton / 5% Elasthan<br/><br/>DIE GESAMTEN VERKAUFSERLÖSE FLIESSEN IN DIE RÜCKENMARKSFORSCHUNG!",wfl-women-t-shirts,full-tax,langarmshirt,2,WFL11003,M-105353,3995,EUR 39950,M-105353,YES,M,13,navy,1,,NO,YES,10, ,female,,NO,0
,Longsleeve,"Wings for Life<br />
Tailliert geschnittenes Langarm Shirt<br />
Farbe: navy<br />Material: 95% Cotton / 5% Elasthan<br/><br/>DIE GESAMTEN VERKAUFSERLÖSE FLIESSEN IN DIE RÜCKENMARKSFORSCHUNG!",wfl-women-t-shirts,full-tax,langarmshirt,3,WFL11003,M-105354,3995,EUR 39950,M-105354,YES,L,13,navy,1,,NO,YES,10, ,female,,NO,0
,Longsleeve,"Wings for Life<br />
Tailliert geschnittenes Langarm Shirt<br />
Farbe: navy<br />Material: 95% Cotton / 5% Elasthan<br/><br/>DIE GESAMTEN VERKAUFSERLÖSE FLIESSEN IN DIE RÜCKENMARKSFORSCHUNG!",wfl-women-t-shirts,full-tax,langarmshirt,4,WFL11003,M-105355,3995,EUR 39950,M-105355,YES,XL,13,navy,1,,NO,YES,10, ,female,,NO,0
clothing,Polo,Wings for Life<br />Polo<br />Farbe: navy<br />Material: 95% Baumwolle / 5% Elasthan<br/><br/>DIE GESAMTEN VERKAUFSERLÖSE FLIESSEN IN DIE RÜCKENMARKSFORSCHUNG!,wfl-women-t-shirts,full-tax,polo,1,WFL11005,M-105366,5495,EUR 54950,M-105366,YES,S,13,navy,1,,NO,YES,10, ,female,,NO,0
,Polo,Wings for Life<br />Polo<br />Farbe: navy<br />Material: 95% Baumwolle / 5% Elasthan<br/><br/>DIE GESAMTEN VERKAUFSERLÖSE FLIESSEN IN DIE RÜCKENMARKSFORSCHUNG!,wfl-women-t-shirts,full-tax,polo,2,WFL11005,M-105367,5495,EUR 54950,M-105367,YES,M,13,navy,1,,NO,YES,10, ,female,,NO,0
